folder,voltage,gain,csv,velocity_mps,peak_accel_mps2,dt_s
1V,1.0,4.0,250922_compression_manual\1V\1.csv,177.71926937633697,233.20471816592627,5.0000000000000004e-08
1V,1.0,4.0,250922_compression_manual\1V\63.csv,175.50987243032415,382.0090954469379,5.0000000000000004e-08
1V,1.0,4.0,250922_compression_manual\1V\64.csv,84.00088674249517,470.56212148997696,4.750067289571621e-08
1V,1.0,4.0,250922_compression_manual\1V\65.csv,86.94321446442265,305.8183371616245,4.750067289571621e-08
1V,1.0,4.0,250922_compression_manual\1V\66.csv,181.95038423968606,299.1220545880456,4.750067289571621e-08
1V,1.0,4.0,250922_compression_manual\1V\67.csv,81.34420956170143,240.06364661670463,4.750067289571621e-08
1V,1.0,4.0,250922_compression_manual\1V\68.csv,85.1299985569536,521.5871031633075,4.750067289571621e-08
1V,1.0,4.0,250922_compression_manual\1V\69.csv,178.7462265298048,304.583065197066,4.750067289571621e-08
1V,1.0,4.0,250922_compression_manual\1V\70.csv,174.64106317375501,476.52081380754834,4.750067289571621e-08
1V,1.0,4.0,250922_compression_manual\1V\71.csv,78.56434006424038,575.7559892162,4.750067289571621e-08
1V,1.0,4.0,250922_compression_manual\1V\72.csv,79.84836466511787,435.10075045456654,3.10000620116582e-08
1V,1.0,4.0,250922_compression_manual\1V\73.csv,82.18792608232697,394.1425942026986,3.10000620116582e-08
1V,1.0,4.0,250922_compression_manual\1V\74.csv,175.17417531696287,134.62953845750454,3.10000620116582e-08
1V,1.0,4.0,250922_compression_manual\1V\75.csv,176.2999847529861,235.67552768101388,3.10000620116582e-08
1V,1.0,4.0,250922_compression_manual\1V\76.csv,176.4875379282552,276.87054138643464,3.10000620116582e-08
1V,1.0,4.0,250922_compression_manual\1V\77.csv,84.64198247579587,393.6622594668182,3.10000620116582e-08
1V,1.0,4.0,250922_compression_manual\1V\78.csv,176.93570333691,378.98809367549933,3.10000620116582e-08
1V,1.0,4.0,250922_compression_manual\1V\79.csv,176.25538797448942,297.23150860766884,3.10000620116582e-08
