csv,velocity_mps,peak_accel_mps2,dt_s
250922_compression_manual\1.csv,177.71926937633697,233.20471816592627,5.0000000000000004e-08
250922_compression_manual\63.csv,175.50987243032415,382.0090954469379,5.0000000000000004e-08
250922_compression_manual\64.csv,175.97925707887902,470.56212148997696,4.750067289571621e-08
250922_compression_manual\65.csv,177.51811379287295,305.8183371616245,4.750067289571621e-08
250922_compression_manual\66.csv,181.95038423968606,299.1220545880456,4.750067289571621e-08
250922_compression_manual\67.csv,172.12900306299622,240.06364661670463,4.750067289571621e-08
250922_compression_manual\68.csv,175.43611122369728,521.5871031633075,4.750067289571621e-08
250922_compression_manual\69.csv,178.7462265298048,304.583065197066,4.750067289571621e-08
250922_compression_manual\70.csv,174.64106317375501,476.52081380754834,4.750067289571621e-08
250922_compression_manual\71.csv,174.06614618428395,575.7559892162,4.750067289571621e-08
250922_compression_manual\72.csv,175.61568699988695,435.10075045456654,3.10000620116582e-08
250922_compression_manual\73.csv,170.7357999854819,394.1425942026986,3.10000620116582e-08
250922_compression_manual\74.csv,175.17417531696287,134.62953845750454,3.10000620116582e-08
250922_compression_manual\75.csv,176.2999847529861,235.67552768101388,3.10000620116582e-08
250922_compression_manual\76.csv,176.4875379282552,276.87054138643464,3.10000620116582e-08
250922_compression_manual\77.csv,173.28346176094294,393.6622594668182,3.10000620116582e-08
250922_compression_manual\78.csv,176.93570333691,378.98809367549933,3.10000620116582e-08
250922_compression_manual\79.csv,176.25538797448942,297.23150860766884,3.10000620116582e-08
