folder,voltage,gain,csv,velocity_mps,peak_accel_mps2,dt_s
70V,70.0,2.0,1D amplitude changing exp\8_21 main data\70V\scope_02.csv,213.03350839559133,87.39658282679657,5.500000000000001e-08
70V,70.0,2.0,1D amplitude changing exp\8_21 main data\70V\scope_04.csv,214.49957546959016,87.64093512931085,5.500000000000001e-08
70V,70.0,2.0,1D amplitude changing exp\8_21 main data\70V\scope_05.csv,217.22241916384448,87.66365142025487,5.500000000000001e-08
70V,70.0,2.0,1D amplitude changing exp\8_21 main data\70V\scope_06.csv,218.2181878797981,87.81449356387768,5.500000000000001e-08
70V,70.0,2.0,1D amplitude changing exp\8_21 main data\70V\scope_07.csv,212.91224023597766,88.16739265096015,5.500000000000001e-08
50V,50.0,2.0,1D amplitude changing exp\8_21 main data\50V\pulse_velocity_vs_p1.csv,215.64990033310562,84.37424486008628,6.500038697893286e-08
50V,50.0,2.0,1D amplitude changing exp\8_21 main data\50V\scope_2.csv,217.3293645157384,83.2144499792323,5.500031434678737e-08
50V,50.0,2.0,1D amplitude changing exp\8_21 main data\50V\scope_3.csv,213.28593645856475,83.19307583176052,5e-08
50V,50.0,2.0,1D amplitude changing exp\8_21 main data\50V\scope_4.csv,212.87604405351465,83.58629295056778,5e-08
50V,50.0,2.0,1D amplitude changing exp\8_21 main data\50V\scope_5.csv,214.63962257353325,83.47148008092509,5.500016179658933e-08
45V,45.0,2.0,1D amplitude changing exp\8_21 main data\45V\scope_10.csv,214.95682398620352,82.01921416440052,5.500016179658933e-08
45V,45.0,2.0,1D amplitude changing exp\8_21 main data\45V\scope_11.csv,220.79390421251125,81.81242025538052,5.500016179658933e-08
45V,45.0,2.0,1D amplitude changing exp\8_21 main data\45V\scope_12.csv,220.07011146944262,81.93461583708049,5.500016179658933e-08
45V,45.0,2.0,1D amplitude changing exp\8_21 main data\45V\scope_7.csv,221.18561427320765,81.73952039658096,5.500016179658933e-08
45V,45.0,2.0,1D amplitude changing exp\8_21 main data\45V\scope_9.csv,214.92153309406984,82.09309827882635,5.500016179658933e-08
40V,40.0,2.0,1D amplitude changing exp\8_21 main data\40V\scope_14.csv,218.87492210180721,80.82244634640257,5.5e-08
40V,40.0,2.0,1D amplitude changing exp\8_21 main data\40V\scope_16.csv,215.04573455292137,79.48560856266333,5.5e-08
40V,40.0,2.0,1D amplitude changing exp\8_21 main data\40V\scope_17.csv,218.82004330813353,79.70395230903594,5.5e-08
40V,40.0,2.0,1D amplitude changing exp\8_21 main data\40V\scope_18.csv,216.39654667177598,80.01823920596793,5.5e-08
40V,40.0,2.0,1D amplitude changing exp\8_21 main data\40V\scope_19.csv,218.4366609529299,79.59053882670257,5.5e-08
