pretension_N,csv_index,csv_path,velocity
3.0,1,.\1D chain tension changing exp\8_19 main data\3n\SCOPE_13.csv,208.17247251259587
3.0,2,.\1D chain tension changing exp\8_19 main data\3n\SCOPE_15.csv,187.3305804670898
4.0,1,.\1D chain tension changing exp\8_19 main data\4N\SCOPE_14.csv,194.48436926423054
4.0,2,.\1D chain tension changing exp\8_19 main data\4N\SCOPE_15.csv,200.9954130334303
4.0,3,.\1D chain tension changing exp\8_19 main data\4N\SCOPE_16.csv,196.58988630223922
4.0,4,.\1D chain tension changing exp\8_19 main data\4N\SCOPE_17.csv,199.74496729030508
4.0,5,.\1D chain tension changing exp\8_19 main data\4N\SCOPE_18.csv,197.83634903019586
5.0,1,.\1D chain tension changing exp\8_19 main data\5N\SCOPE_02.csv,196.38076522956354
5.0,2,.\1D chain tension changing exp\8_19 main data\5N\SCOPE_03.csv,197.0445102338966
5.0,3,.\1D chain tension changing exp\8_19 main data\5N\SCOPE_06.csv,191.7240528488949
5.0,4,.\1D chain tension changing exp\8_19 main data\5N\SCOPE_07.csv,190.88156383538802
6.0,1,.\1D chain tension changing exp\8_19 main data\6N\SCOPE_01.csv,195.96386029045084
6.0,2,.\1D chain tension changing exp\8_19 main data\6N\SCOPE_02.csv,194.24563231613863
6.0,3,.\1D chain tension changing exp\8_19 main data\6N\SCOPE_03.csv,197.62456914756035
6.0,4,.\1D chain tension changing exp\8_19 main data\6N\SCOPE_04.csv,204.25699956113115
6.0,5,.\1D chain tension changing exp\8_19 main data\6N\SCOPE_05.csv,203.67485736147623
7.0,1,.\1D chain tension changing exp\8_19 main data\7N\SCOPE_01.csv,198.7058399039191
7.0,2,.\1D chain tension changing exp\8_19 main data\7N\SCOPE_02.csv,199.97936879511929
7.0,3,.\1D chain tension changing exp\8_19 main data\7N\SCOPE_03.csv,201.1414048380598
7.0,4,.\1D chain tension changing exp\8_19 main data\7N\SCOPE_04.csv,201.562317924664
7.0,5,.\1D chain tension changing exp\8_19 main data\7N\SCOPE_05.csv,199.20613588099533
8.0,1,.\1D chain tension changing exp\8_19 main data\8N\SCOPE_11.csv,206.88937599204533
8.0,2,.\1D chain tension changing exp\8_19 main data\8N\SCOPE_12.csv,203.562568298599
8.0,3,.\1D chain tension changing exp\8_19 main data\8N\SCOPE_13.csv,211.0480549679349
8.0,4,.\1D chain tension changing exp\8_19 main data\8N\SCOPE_14.csv,202.3355025010635
8.0,5,.\1D chain tension changing exp\8_19 main data\8N\SCOPE_15.csv,202.6316133488247
9.0,1,.\1D chain tension changing exp\8_19 main data\9N\SCOPE_01.csv,200.1962256671914
9.0,2,.\1D chain tension changing exp\8_19 main data\9N\SCOPE_02.csv,206.31136554269236
9.0,3,.\1D chain tension changing exp\8_19 main data\9N\SCOPE_03.csv,211.4913067159284
9.0,4,.\1D chain tension changing exp\8_19 main data\9N\SCOPE_04.csv,214.7926537153558
9.0,5,.\1D chain tension changing exp\8_19 main data\9N\scope_0.csv,178.3712895256997
10.0,1,.\1D chain tension changing exp\8_19 main data\10N\SCOPE_16.csv,212.7709780622335
10.0,2,.\1D chain tension changing exp\8_19 main data\10N\SCOPE_17.csv,215.2517912312339
10.0,3,.\1D chain tension changing exp\8_19 main data\10N\SCOPE_18.csv,207.37353170358955
10.0,4,.\1D chain tension changing exp\8_19 main data\10N\SCOPE_19.csv,207.8989712639154
10.0,5,.\1D chain tension changing exp\8_19 main data\10N\SCOPE_20.csv,210.20698556350976
11.0,1,.\1D chain tension changing exp\8_19 main data\11N\SCOPE_01.csv,208.4270802878916
11.0,2,.\1D chain tension changing exp\8_19 main data\11N\SCOPE_02.csv,214.60539009157074
11.0,3,.\1D chain tension changing exp\8_19 main data\11N\SCOPE_03.csv,214.23183752895474
11.0,4,.\1D chain tension changing exp\8_19 main data\11N\SCOPE_05.csv,210.34670000428142
11.0,5,.\1D chain tension changing exp\8_19 main data\11N\SCOPE_06.csv,209.47157739807497
12.0,1,.\1D chain tension changing exp\8_19 main data\12N\SCOPE_15.csv,216.21817711379845
12.0,2,.\1D chain tension changing exp\8_19 main data\12N\SCOPE_16.csv,217.34243511128398
12.0,3,.\1D chain tension changing exp\8_19 main data\12N\SCOPE_17.csv,219.30027951191252
12.0,4,.\1D chain tension changing exp\8_19 main data\12N\SCOPE_18.csv,214.75101133931568
12.0,5,.\1D chain tension changing exp\8_19 main data\12N\SCOPE_19.csv,222.5385669768066
13.0,1,.\1D chain tension changing exp\8_19 main data\13N\SCOPE_01.csv,217.6841328856417
13.0,2,.\1D chain tension changing exp\8_19 main data\13N\SCOPE_03.csv,219.82252689353064
13.0,3,.\1D chain tension changing exp\8_19 main data\13N\SCOPE_04.csv,221.93662950944022
13.0,4,.\1D chain tension changing exp\8_19 main data\13N\SCOPE_05.csv,217.6627453010014
13.0,5,.\1D chain tension changing exp\8_19 main data\13N\SCOPE_06.csv,215.73389870796066
14.0,1,.\1D chain tension changing exp\8_19 main data\14N\SCOPE_16.csv,223.2337190067885
14.0,2,.\1D chain tension changing exp\8_19 main data\14N\SCOPE_17.csv,224.15981399218634
14.0,3,.\1D chain tension changing exp\8_19 main data\14N\SCOPE_18.csv,224.11445724544373
