pretension_N,csv_index,csv_path,velocity
3.0,1,.\1D chain tension changing exp\3n\scope_10.csv,179.70241953209558
3.0,2,.\1D chain tension changing exp\3n\scope_11.csv,174.97602281687338
3.0,3,.\1D chain tension changing exp\3n\scope_12.csv,186.71482768185797
4.0,1,.\1D chain tension changing exp\4N\scope_10.csv,185.82213020528272
4.0,2,.\1D chain tension changing exp\4N\scope_11.csv,182.23010699273738
4.0,3,.\1D chain tension changing exp\4N\scope_9.csv,180.75811308312913
6.0,1,.\1D chain tension changing exp\6N\scope_14.csv,182.78642134004053
6.0,2,.\1D chain tension changing exp\6N\scope_15.csv,180.78761480296015
6.0,3,.\1D chain tension changing exp\6N\scope_16.csv,180.89094670206538
8.0,1,.\1D chain tension changing exp\8N\scope_08.csv,188.33388013372488
8.0,2,.\1D chain tension changing exp\8N\scope_09.csv,186.77779495816426
8.0,3,.\1D chain tension changing exp\8N\scope_10.csv,190.43853100478145
10.0,1,.\1D chain tension changing exp\10N\scope_12.csv,188.33388013372488
10.0,2,.\1D chain tension changing exp\10N\scope_13.csv,193.65135027034938
10.0,3,.\1D chain tension changing exp\10N\scope_14.csv,192.08978020206933
12.0,1,.\1D chain tension changing exp\12N\scope_12.csv,187.64792911745425
12.0,2,.\1D chain tension changing exp\12N\scope_13.csv,199.27781167499504
12.0,3,.\1D chain tension changing exp\12N\scope_14.csv,194.45022581275165
