angle_deg,angle_folder,mass_g,pretension_N,file,file_path,velocity_mps,peak_accel_mps2,dt_s
45.0,45 deg soliton data,100.0,0.9810000000000001,100g_20260429-173430.h5,45 deg soliton data\100g_20260429-173430.h5,89.23443300413253,490.7508609614758,2e-07
45.0,45 deg soliton data,100.0,0.9810000000000001,100g_20260429-173433.h5,45 deg soliton data\100g_20260429-173433.h5,85.72774375883183,543.6689244028112,2e-07
45.0,45 deg soliton data,100.0,0.9810000000000001,100g_20260429-173436.h5,45 deg soliton data\100g_20260429-173436.h5,85.0297003270373,539.8119854908591,2e-07
45.0,45 deg soliton data,100.0,0.9810000000000001,100g_20260429-173440.h5,45 deg soliton data\100g_20260429-173440.h5,85.09217205450173,531.9982113812134,2e-07
45.0,45 deg soliton data,100.0,0.9810000000000001,100g_20260429-173443.h5,45 deg soliton data\100g_20260429-173443.h5,85.54354394682065,553.7013348802693,2e-07
45.0,45 deg soliton data,100.0,0.9810000000000001,100g_20260429-173446.h5,45 deg soliton data\100g_20260429-173446.h5,85.14904424542173,563.9425960453303,2e-07
45.0,45 deg soliton data,120.0,1.1772,120g_20260429-173555.h5,45 deg soliton data\120g_20260429-173555.h5,84.43796394485683,454.7300987350616,2e-07
45.0,45 deg soliton data,120.0,1.1772,120g_20260429-173559.h5,45 deg soliton data\120g_20260429-173559.h5,85.4001876927202,506.3823717692208,2e-07
45.0,45 deg soliton data,120.0,1.1772,120g_20260429-173602.h5,45 deg soliton data\120g_20260429-173602.h5,84.72434661169116,475.52115516956127,2e-07
45.0,45 deg soliton data,120.0,1.1772,120g_20260429-173605.h5,45 deg soliton data\120g_20260429-173605.h5,85.27443105756359,507.814931664702,2e-07
45.0,45 deg soliton data,120.0,1.1772,120g_20260429-173608.h5,45 deg soliton data\120g_20260429-173608.h5,84.84848484848484,547.456240786795,2e-07
45.0,45 deg soliton data,120.0,1.1772,120g_20260429-173611.h5,45 deg soliton data\120g_20260429-173611.h5,85.19459676340777,503.30967200938574,2e-07
45.0,45 deg soliton data,200.0,1.9620000000000002,200g_20260429-173748.h5,45 deg soliton data\200g_20260429-173748.h5,87.30811403508771,410.92455377643074,2e-07
45.0,45 deg soliton data,200.0,1.9620000000000002,200g_20260429-173751.h5,45 deg soliton data\200g_20260429-173751.h5,89.52287260206592,449.19940299184583,2e-07
45.0,45 deg soliton data,200.0,1.9620000000000002,200g_20260429-173756.h5,45 deg soliton data\200g_20260429-173756.h5,89.64886355639996,379.69734902710746,2e-07
45.0,45 deg soliton data,200.0,1.9620000000000002,200g_20260429-173803.h5,45 deg soliton data\200g_20260429-173803.h5,89.71199211323146,435.74593867437835,2e-07
45.0,45 deg soliton data,200.0,1.9620000000000002,200g_20260429-173806.h5,45 deg soliton data\200g_20260429-173806.h5,89.80685182574369,437.1264389470302,2e-07
45.0,45 deg soliton data,200.0,1.9620000000000002,200g_20260429-173809.h5,45 deg soliton data\200g_20260429-173809.h5,89.68041672532732,489.39390812511226,2e-07
45.0,45 deg soliton data,60.0,0.5886,60g_20260429-172843.h5,45 deg soliton data\60g_20260429-172843.h5,87.98342541436465,512.8291173884435,2e-07
45.0,45 deg soliton data,60.0,0.5886,60g_20260429-172900.h5,45 deg soliton data\60g_20260429-172900.h5,85.75659666128163,518.0577828386515,2e-07
45.0,45 deg soliton data,60.0,0.5886,60g_20260429-172907.h5,45 deg soliton data\60g_20260429-172907.h5,85.6010212994692,571.6882637255337,2e-07
45.0,45 deg soliton data,60.0,0.5886,60g_20260429-172917.h5,45 deg soliton data\60g_20260429-172917.h5,84.8710945306775,534.0879622200129,2e-07
45.0,45 deg soliton data,60.0,0.5886,60g_20260429-172925.h5,45 deg soliton data\60g_20260429-172925.h5,84.9673202614379,552.2069961338593,2e-07
45.0,45 deg soliton data,60.0,0.5886,60g_20260429-172930.h5,45 deg soliton data\60g_20260429-172930.h5,85.44027898866608,468.8848339221954,2e-07
45.0,45 deg soliton data,80.0,0.7848,80g_20260429-173147.h5,45 deg soliton data\80g_20260429-173147.h5,85.73351278600269,456.3406651765161,2e-07
