pretension_N,csv_index,csv_path,velocity
3.0,1,.\1D chain tension changing exp\8_19 main data\3n\SCOPE_13.csv,209.35280760287986
3.0,2,.\1D chain tension changing exp\8_19 main data\3n\SCOPE_15.csv,189.89982942247823
4.0,1,.\1D chain tension changing exp\8_19 main data\4N\SCOPE_14.csv,199.2598878914056
4.0,2,.\1D chain tension changing exp\8_19 main data\4N\SCOPE_15.csv,199.81703142965102
4.0,3,.\1D chain tension changing exp\8_19 main data\4N\SCOPE_16.csv,195.91186893691875
4.0,4,.\1D chain tension changing exp\8_19 main data\4N\SCOPE_17.csv,199.9432688744467
4.0,5,.\1D chain tension changing exp\8_19 main data\4N\SCOPE_18.csv,200.467961829842
5.0,1,.\1D chain tension changing exp\8_19 main data\5N\SCOPE_02.csv,200.322942841966
5.0,2,.\1D chain tension changing exp\8_19 main data\5N\SCOPE_03.csv,198.58115967866917
5.0,3,.\1D chain tension changing exp\8_19 main data\5N\SCOPE_06.csv,195.27293318211795
5.0,4,.\1D chain tension changing exp\8_19 main data\5N\SCOPE_07.csv,193.33025911369916
6.0,1,.\1D chain tension changing exp\8_19 main data\6N\SCOPE_01.csv,195.65233872887228
6.0,2,.\1D chain tension changing exp\8_19 main data\6N\SCOPE_02.csv,195.37626069076168
6.0,3,.\1D chain tension changing exp\8_19 main data\6N\SCOPE_03.csv,196.81693439145764
6.0,4,.\1D chain tension changing exp\8_19 main data\6N\SCOPE_04.csv,202.65014887819845
6.0,5,.\1D chain tension changing exp\8_19 main data\6N\SCOPE_05.csv,203.562568298599
7.0,1,.\1D chain tension changing exp\8_19 main data\7N\SCOPE_01.csv,200.55870362308042
7.0,2,.\1D chain tension changing exp\8_19 main data\7N\SCOPE_02.csv,202.35398673819745
7.0,3,.\1D chain tension changing exp\8_19 main data\7N\SCOPE_03.csv,201.7826233632749
7.0,4,.\1D chain tension changing exp\8_19 main data\7N\SCOPE_04.csv,202.50195952286768
7.0,5,.\1D chain tension changing exp\8_19 main data\7N\SCOPE_05.csv,202.2062272103752
8.0,1,.\1D chain tension changing exp\8_19 main data\8N\SCOPE_11.csv,202.48344824362758
8.0,2,.\1D chain tension changing exp\8_19 main data\8N\SCOPE_12.csv,203.22643989531468
8.0,3,.\1D chain tension changing exp\8_19 main data\8N\SCOPE_13.csv,209.01702342050262
8.0,4,.\1D chain tension changing exp\8_19 main data\8N\SCOPE_14.csv,201.23275746201108
8.0,5,.\1D chain tension changing exp\8_19 main data\8N\SCOPE_15.csv,200.14196736885364
9.0,1,.\1D chain tension changing exp\8_19 main data\9N\SCOPE_01.csv,201.2144802994675
9.0,2,.\1D chain tension changing exp\8_19 main data\9N\SCOPE_02.csv,204.937228153969
9.0,3,.\1D chain tension changing exp\8_19 main data\9N\SCOPE_03.csv,209.64998803466375
9.0,4,.\1D chain tension changing exp\8_19 main data\9N\SCOPE_04.csv,214.27327878292778
10.0,1,.\1D chain tension changing exp\8_19 main data\10N\SCOPE_16.csv,214.52226658446688
10.0,2,.\1D chain tension changing exp\8_19 main data\10N\SCOPE_17.csv,215.33548116518867
10.0,3,.\1D chain tension changing exp\8_19 main data\10N\SCOPE_18.csv,208.95787917039652
10.0,4,.\1D chain tension changing exp\8_19 main data\10N\SCOPE_19.csv,205.31709392987565
10.0,5,.\1D chain tension changing exp\8_19 main data\10N\SCOPE_20.csv,207.80146740160657
11.0,1,.\1D chain tension changing exp\8_19 main data\11N\SCOPE_01.csv,213.69455310837196
11.0,2,.\1D chain tension changing exp\8_19 main data\11N\SCOPE_02.csv,215.7339019399826
11.0,3,.\1D chain tension changing exp\8_19 main data\11N\SCOPE_03.csv,214.98024443522513
11.0,4,.\1D chain tension changing exp\8_19 main data\11N\SCOPE_05.csv,210.7068120502699
11.0,5,.\1D chain tension changing exp\8_19 main data\11N\SCOPE_06.csv,209.57065826827775
12.0,1,.\1D chain tension changing exp\8_19 main data\12N\SCOPE_15.csv,214.70938510676405
12.0,2,.\1D chain tension changing exp\8_19 main data\12N\SCOPE_16.csv,215.75490889614127
12.0,3,.\1D chain tension changing exp\8_19 main data\12N\SCOPE_17.csv,218.91022204474277
12.0,4,.\1D chain tension changing exp\8_19 main data\12N\SCOPE_18.csv,214.89683034487703
12.0,5,.\1D chain tension changing exp\8_19 main data\12N\SCOPE_19.csv,219.93164096953802
13.0,1,.\1D chain tension changing exp\8_19 main data\13N\SCOPE_01.csv,217.96255775610447
13.0,2,.\1D chain tension changing exp\8_19 main data\13N\SCOPE_03.csv,219.73531355542565
13.0,3,.\1D chain tension changing exp\8_19 main data\13N\SCOPE_04.csv,220.28153846890464
13.0,4,.\1D chain tension changing exp\8_19 main data\13N\SCOPE_05.csv,217.4277589476279
13.0,5,.\1D chain tension changing exp\8_19 main data\13N\SCOPE_06.csv,216.8106680966534
14.0,1,.\1D chain tension changing exp\8_19 main data\14N\SCOPE_16.csv,226.1737036975898
14.0,2,.\1D chain tension changing exp\8_19 main data\14N\SCOPE_17.csv,225.66684552853684
14.0,3,.\1D chain tension changing exp\8_19 main data\14N\SCOPE_18.csv,225.2309285672133
