x-axis,1,2,3
second,Volt,Volt,Volt
-620.00000E-06,,,
-619.94500E-06,,,
-619.89000E-06,,,
-619.83500E-06,,,
-619.78000E-06,,,
-619.72500E-06,,,
-619.67000E-06,,,
-619.61500E-06,,,
-619.56000E-06,,,
-619.50500E-06,,,
-619.45000E-06,,,
-619.39500E-06,,,
-619.34000E-06,,,
-619.28500E-06,,,
-619.23000E-06,,,
-619.17500E-06,,,
-619.12000E-06,,,
-619.06500E-06,,,
-619.01000E-06,,,
-618.95500E-06,,,
-618.90000E-06,,,
-618.84500E-06,,,
-618.79000E-06,,,
-618.73500E-06,+1.23429671E-03,+4.28718631E-03,+1.36005023E-03
-618.68000E-06,+1.23429671E-03,+3.40778934E-03,+1.36005023E-03
-618.62500E-06,+1.23429671E-03,+4.28718631E-03,+1.86256279E-03
-618.57000E-06,+1.23429671E-03,+2.27713608E-03,+3.37010046E-03
-618.51500E-06,+1.86243741E-03,+1.39773911E-03,+3.37010046E-03
-618.46000E-06,+2.74183438E-03,+2.77964864E-03,+2.74195976E-03
-618.40500E-06,+1.23429671E-03,+2.77964864E-03,+1.86256279E-03
-618.35000E-06,+1.86243741E-03,+2.77964864E-03,+3.37010046E-03
-618.29500E-06,+2.74183438E-03,+2.77964864E-03,+3.37010046E-03
-618.24000E-06,+1.23429671E-03,+2.77964864E-03,+3.37010046E-03
-618.18500E-06,+1.86243741E-03,+2.77964864E-03,+2.74195976E-03
-618.13000E-06,+3.24434694E-03,+2.77964864E-03,+1.86256279E-03
-618.07500E-06,+3.24434694E-03,+2.77964864E-03,+2.74195976E-03
-618.02000E-06,+2.74183438E-03,+2.77964864E-03,+1.36005023E-03
-617.96500E-06,+1.86243741E-03,+3.40778934E-03,+1.86256279E-03
-617.91000E-06,+3.24434694E-03,+4.28718631E-03,+2.74195976E-03
-617.85500E-06,+3.24434694E-03,+2.77964864E-03,+1.36005023E-03
-617.80000E-06,+3.24434694E-03,+3.40778934E-03,+1.36005023E-03
-617.74500E-06,+2.74183438E-03,+4.28718631E-03,+1.36005023E-03
-617.69000E-06,+1.86243741E-03,+2.77964864E-03,+1.86256279E-03
-617.63500E-06,+3.24434694E-03,+2.77964864E-03,+3.37010046E-03
-617.58000E-06,+3.24434694E-03,+2.77964864E-03,+3.37010046E-03
-617.52500E-06,+3.24434694E-03,+2.77964864E-03,+2.74195976E-03
-617.47000E-06,+3.24434694E-03,+2.77964864E-03,+1.36005023E-03
-617.41500E-06,+3.24434694E-03,+2.77964864E-03,+1.86256279E-03
-617.36000E-06,+3.24434694E-03,+2.77964864E-03,+3.37010046E-03
-617.30500E-06,+3.24434694E-03,+2.77964864E-03,+2.74195976E-03
-617.25000E-06,+2.74183438E-03,+2.77964864E-03,+1.86256279E-03
-617.19500E-06,+1.86243741E-03,+2.77964864E-03,+2.74195976E-03
-617.14000E-06,+3.24434694E-03,+3.40778934E-03,+1.36005023E-03
-617.08500E-06,+3.24434694E-03,+4.28718631E-03,+1.36005023E-03
-617.03000E-06,+2.74183438E-03,+3.40778934E-03,+1.86256279E-03
-616.97500E-06,+1.23429671E-03,+4.28718631E-03,+2.74195976E-03
-616.92000E-06,+1.23429671E-03,+3.40778934E-03,+1.36005023E-03
-616.86500E-06,+1.23429671E-03,+4.78969887E-03,+1.36005023E-03
-616.81000E-06,+1.86243741E-03,+4.78969887E-03,+1.86256279E-03
-616.75500E-06,+3.24434694E-03,+4.78969887E-03,+3.37010046E-03
-616.70000E-06,+2.74183438E-03,+4.28718631E-03,+2.74195976E-03
-616.64500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-616.59000E-06,+1.86243741E-03,+2.77964864E-03,+1.36005023E-03
-616.53500E-06,+2.74183438E-03,+3.40778934E-03,+1.86256279E-03
-616.48000E-06,+1.23429671E-03,+4.28718631E-03,+3.37010046E-03
-616.42500E-06,+1.23429671E-03,+2.77964864E-03,+3.37010046E-03
-616.37000E-06,+1.86243741E-03,+3.40778934E-03,+2.74195976E-03
-616.31500E-06,+3.24434694E-03,+4.28718631E-03,+1.86256279E-03
-616.26000E-06,+3.24434694E-03,+3.40778934E-03,+3.37010046E-03
-616.20500E-06,+3.24434694E-03,+4.28718631E-03,+3.37010046E-03
-616.15000E-06,+2.74183438E-03,+2.77964864E-03,+3.37010046E-03
-616.09500E-06,+1.86243741E-03,+2.77964864E-03,+2.74195976E-03
-616.04000E-06,+2.74183438E-03,+2.77964864E-03,+1.86256279E-03
-615.98500E-06,+1.23429671E-03,+2.77964864E-03,+3.37010046E-03
-615.93000E-06,+1.23429671E-03,+2.77964864E-03,+2.74195976E-03
-615.87500E-06,+1.23429671E-03,+3.40778934E-03,+1.86256279E-03
-615.82000E-06,+1.23429671E-03,+4.78969887E-03,+3.37010046E-03
-615.76500E-06,+1.23429671E-03,+4.28718631E-03,+3.37010046E-03
-615.71000E-06,+1.23429671E-03,+2.77964864E-03,+3.37010046E-03
-615.65500E-06,+1.23429671E-03,+2.77964864E-03,+2.74195976E-03
-615.60000E-06,+1.23429671E-03,+2.77964864E-03,+1.86256279E-03
-615.54500E-06,+1.23429671E-03,+2.27713608E-03,+3.37010046E-03
-615.49000E-06,+1.23429671E-03,+1.39773911E-03,+2.74195976E-03
-615.43500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-615.38000E-06,+1.23429671E-03,+2.77964864E-03,+1.86256279E-03
-615.32500E-06,+1.86243741E-03,+2.77964864E-03,+3.37010046E-03
-615.27000E-06,+3.24434694E-03,+2.77964864E-03,+3.37010046E-03
-615.21500E-06,+3.24434694E-03,+2.77964864E-03,+3.37010046E-03
-615.16000E-06,+2.74183438E-03,+3.40778934E-03,+3.37010046E-03
-615.10500E-06,+1.23429671E-03,+4.28718631E-03,+3.37010046E-03
-615.05000E-06,+1.23429671E-03,+2.77964864E-03,+3.37010046E-03
-614.99500E-06,+1.23429671E-03,+2.77964864E-03,+2.74195976E-03
-614.94000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
