folder,angle_deg,branch,csv,velocity_mps,peak_accel_mps2,dt_s,gain_used
30.03 deg,30.03,left,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\30.03 deg\scope_02.csv,204.62538633699242,94.82587226554693,5.5e-08,2.0
30.03 deg,30.03,right,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\30.03 deg\scope_02.csv,196.75222200209046,110.45658126819143,5.5e-08,2.0
30.03 deg,30.03,left,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\30.03 deg\scope_03.csv,201.75555353177296,93.66539354456775,5.5e-08,2.0
30.03 deg,30.03,right,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\30.03 deg\scope_03.csv,198.54264185802822,109.58162322190178,5.5e-08,2.0
30.03 deg,30.03,left,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\30.03 deg\scope_04.csv,202.91264188032378,94.19334772892203,5.5e-08,2.0
30.03 deg,30.03,right,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\30.03 deg\scope_04.csv,195.76654839104364,110.12986377649418,5.5e-08,2.0
30.03 deg,30.03,left,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\30.03 deg\scope_05.csv,204.11489967894425,93.77432107321329,5.5e-08,2.0
30.03 deg,30.03,right,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\30.03 deg\scope_05.csv,200.0597400612683,109.90012460353098,5.5e-08,2.0
30.03 deg,30.03,left,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\30.03 deg\scope_06.csv,202.4732672014398,92.30456888213227,5.5e-08,2.0
30.03 deg,30.03,right,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\30.03 deg\scope_06.csv,200.25866744545036,107.95025624147753,5.5e-08,2.0
50.4 deg,50.4,left,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\50.4 deg\scope_14.csv,211.19479052850028,96.48923934942151,5.5e-08,2.0
50.4 deg,50.4,right,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\50.4 deg\scope_14.csv,201.19740399460676,109.00056892902673,5.5e-08,2.0
50.4 deg,50.4,left,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\50.4 deg\scope_15.csv,209.65581503698093,93.92298641892391,5.5e-08,2.0
50.4 deg,50.4,right,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\50.4 deg\scope_15.csv,200.58084870771606,108.93011762888513,5.5e-08,2.0
50.4 deg,50.4,left,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\50.4 deg\scope_16.csv,212.41131090230553,96.06856943493072,5.5e-08,2.0
50.4 deg,50.4,right,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\50.4 deg\scope_16.csv,202.2386697189725,110.56627332542125,5.5e-08,2.0
50.4 deg,50.4,left,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\50.4 deg\scope_17.csv,209.1700741536964,93.10842518215567,5.5e-08,2.0
50.4 deg,50.4,right,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\50.4 deg\scope_17.csv,202.33244344527188,108.66987549771585,5.5e-08,2.0
50.4 deg,50.4,left,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\50.4 deg\scope_18.csv,209.823835404858,93.28568962681028,5.5e-08,2.0
50.4 deg,50.4,right,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\50.4 deg\scope_18.csv,203.4013221085937,108.42434744453485,5.5e-08,2.0
57.48 deg,57.48,left,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\57.48 deg\scope_52.csv,201.29021436009978,87.51867808395782,5.5e-08,2.0
57.48 deg,57.48,right,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\57.48 deg\scope_52.csv,197.85247624739802,102.70414291431845,5.5e-08,2.0
57.48 deg,57.48,left,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\57.48 deg\scope_53.csv,199.6478433873584,87.76187217231934,5.5e-08,2.0
57.48 deg,57.48,right,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\57.48 deg\scope_53.csv,197.12255821275545,102.75123248991689,5.5e-08,2.0
57.48 deg,57.48,left,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\57.48 deg\scope_54.csv,197.85247624739802,88.14656249796204,5.5e-08,2.0
57.48 deg,57.48,right,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\57.48 deg\scope_54.csv,199.5565410199556,103.67531266440578,5.5e-08,2.0
57.48 deg,57.48,left,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\57.48 deg\scope_55.csv,206.2534912700345,89.06007026192107,5.5e-08,2.0
57.48 deg,57.48,right,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\57.48 deg\scope_55.csv,202.0981719939651,104.16925057411662,5.5e-08,2.0
57.48 deg,57.48,left,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\57.48 deg\scope_56.csv,203.70200094778014,88.26829256144285,5.5e-08,2.0
57.48 deg,57.48,right,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\57.48 deg\scope_56.csv,198.73856218170775,103.99732692413859,5.5e-08,2.0
74.65  deg,74.65,left,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\74.65  deg\scope_07.csv,208.42077839371262,54.28400302067343,5.5e-08,2.0
74.65  deg,74.65,right,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\74.65  deg\scope_07.csv,204.7053806240671,60.918077421197246,5.5e-08,2.0
74.65  deg,74.65,left,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\74.65  deg\scope_09.csv,210.0089691330567,54.85507538109867,5.5e-08,2.0
74.65  deg,74.65,right,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\74.65  deg\scope_09.csv,205.29928786809518,62.04021189745529,5.5e-08,2.0
74.65  deg,74.65,left,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\74.65  deg\scope_10.csv,213.22435199786773,54.59150834906661,5.5e-08,2.0
74.65  deg,74.65,right,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\74.65  deg\scope_10.csv,206.70944403772444,62.12929651704061,5.5e-08,2.0
74.65  deg,74.65,left,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\74.65  deg\scope_11.csv,209.2536619390839,52.8172366645918,5.5e-08,2.0
74.65  deg,74.65,right,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\74.65  deg\scope_11.csv,202.88119474481346,58.63296410414111,5.5e-08,2.0
74.65  deg,74.65,left,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\74.65  deg\scope_12.csv,210.92256651750728,53.577243180267686,5.5e-08,2.0
74.65  deg,74.65,right,C:\Users\eiko\Desktop\college files\SURF git\data analysis\symmetrical angle exp\8_22 data\74.65  deg\scope_12.csv,204.817477758102,58.589986158944804,5.5e-08,2.0
